
field_weed_types | entity_reference | Weed Types → lawn_and_garden_pests
field_wind_direction | entity_reference | Wind Direction → taxonomy_term
field_wind_speed | entity_reference | Wind Speed → taxonomy_term
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_status_updates | BUNDLE: update | update ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_status_updates_type
title | string | Title
uid | entity_reference | Authored by → user
created | created | Authored on
default_langcode | boolean | Default translation
path | path | URL alias
field_status | entity_reference | Status → taxonomy_term
field_status_change_note | string | Reason for Status Change
field_status_of_wo | entity_reference | Status of → work_order

=== ENTITY: wo_tasks_list | BUNDLE: aerating | Aerating ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_tasks_list_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_aerating_equipment_used | entity_reference | Aerating Equipment Used → equipment
field_measured_sq_ft | decimal | Measured Sq. Ft.
field_sprinkler_heads_marked | list_string | Were Sprinkler Marked
field_sprinkler_heads_we_marked | list_string | Were we able mark sprinklers before performing work?
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_tasks_list | BUNDLE: dethatching | Dethatching ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_tasks_list_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_dethatching_equipment_used | entity_reference | Dethatching Equipment Used → equipment
field_measured_sq_ft | decimal | Measured Sq. Ft.
field_sprinkler_heads_marked | list_string | Were Sprinkler Marked
field_sprinkler_heads_we_marked | list_string | Were we able mark sprinklers before performing work?
field_work_order | entity_reference | Work Order → work_order

=== ENTITY: wo_tasks_list | BUNDLE: lawn_mowing | Lawn Mowing ===
id | integer | ID
uuid | uuid | UUID
langcode | language | Language
type | entity_reference | Type → wo_tasks_list_type
title | string | Title
uid | entity_reference | Entered by → user
created | created | Entered on
changed | changed | Changed
default_langcode | boolean | Default translation
path | path | URL alias
field_additional_work_describe | string_long | Please Describe
field_additional_work_requested | boolean | Additional Work Requested by Owner
field_completed | boolean | Completed
field_mowing_assigned_to | entity_reference | Mowing Assigned To → user
field_mowing_cleaned_debri | boolean | Cleaned Up Leaves and Debris
field_mowing_day_of_week | list_string | Day of week to mow
field_mowing_debris_men | list_integer | How many men? (Debris)
field_mowing_debris_minutes | integer | How long did they "Clean Debris"?
field_mowing_debris_time | integer | Cleaning Debris Time
field_mowing_edged | boolean | Edged
field_mowing_edging_men | list_integer | How many men? (edging)
field_mowing_edging_minutes | integer | How long did they "edge"?
field_mowing_edging_time | integer | Edging Time
field_mowing_mowed | boolean | Mowed
field_mowing_other_men | list_integer | How many men? (other)
field_mowing_other_minutes | integer | How long did they do "Other Tasks"?
field_mowing_other_tasks | boolean | Completed Other Tasks
field_mowing_other_time | integer | Other Tasks Time
field_mowing_partial_describe | string_long | Partial Please Describe
field_mowing_partial_mow | boolean | Partial Mow
field_mowing_picked_up_trash | boolean | Picked Up Trash
field_mowing_tasks_completed | string | Enter Tasks & Time Completed
field_mowing_time_spent_cleaning | string | Enter Time Spent Cleaning Up Debris
field_mowing_time_spent_edging | string | Enter Time Spent Edging
field_mowing_time_spent_trash | string | Enter Time Spent Picking Up Trash
field_mowing_trash_men | list_integer | How many men? (trash)
field_mowing_trash_minutes | integer | How long did they "Pick Up Trash"?
